GSFS_RECEIPT_NO,field,existing,common,diff_type
RNN260318099850,CITY_NAME,,WINTERVILLE,value_mismatch
RNN260318099850,STATE_NAME,,GA,value_mismatch
RNN260323021594,CITY_NAME,,ATLANTA,value_mismatch
RNN260323021594,STATE_NAME,,GA,value_mismatch
RNN260323024038,CITY_NAME,,LAWRENCEVILLE,value_mismatch
RNN260323024038,STATE_NAME,,GA,value_mismatch
RNN260323024038,SVC_CENTER_TYPE,DMS,DMS2,value_mismatch
RNN260324029886,CITY_NAME,,LILBURN,value_mismatch
RNN260324029886,STATE_NAME,,GA,value_mismatch
RNN260324029921,CITY_NAME,,JACKSON,value_mismatch
RNN260324029921,STATE_NAME,,GA,value_mismatch
RNN260324030009,CITY_NAME,,BLAIRSVILLE,value_mismatch
RNN260324030009,STATE_NAME,,GA,value_mismatch
RNN260325036111,CITY_NAME,,LAWRENCEVILLE,value_mismatch
RNN260325036111,STATE_NAME,,GA,value_mismatch
RNN260325036111,SVC_CENTER_TYPE,DMS,DMS2,value_mismatch
RNN260325037290,CITY_NAME,,MABELTON,value_mismatch
RNN260325037290,STATE_NAME,,GA,value_mismatch
RNN260326039101,CITY_NAME,,SOCIAL CIRCLE,value_mismatch
RNN260326039101,STATE_NAME,,GA,value_mismatch
RNN260326042155,CITY_NAME,,BUFORD,value_mismatch
RNN260326042155,STATE_NAME,,GA,value_mismatch
RNN260326042155,SVC_CENTER_TYPE,DMS,DMS2,value_mismatch
RNN260327044342,CITY_NAME,,ATLANTA,value_mismatch
RNN260327044342,STATE_NAME,,GA,value_mismatch
RNN260327044717,CITY_NAME,,LAWRENCEVILLE,value_mismatch
RNN260327044717,STATE_NAME,,GA,value_mismatch
RNN260327044720,CITY_NAME,,CARTERSVILLE,value_mismatch
RNN260327044720,STATE_NAME,,GA,value_mismatch
RNN260327044872,CITY_NAME,,KENNESAW,value_mismatch
RNN260327044872,STATE_NAME,,GA,value_mismatch
RNN260327045907,CITY_NAME,,ATLANTA,value_mismatch
RNN260327045907,STATE_NAME,,GA,value_mismatch
RNN260327047201,CITY_NAME,,Lawrenceville,value_mismatch
RNN260327047201,STATE_NAME,,GA,value_mismatch
RNN260327047201,SVC_CENTER_TYPE,DMS,DMS2,value_mismatch
RNN260327047292,CITY_NAME,,Fayetteville,value_mismatch
RNN260327047292,STATE_NAME,,GA,value_mismatch
RNN260327047906,CITY_NAME,,MANSFIELD,value_mismatch
RNN260327047906,STATE_NAME,,GA,value_mismatch
RNN260328048713,CITY_NAME,,DOUGLASVILLE,value_mismatch
RNN260328048713,STATE_NAME,,GA,value_mismatch
RNN260328048728,CITY_NAME,,Loganville,value_mismatch
RNN260328048728,STATE_NAME,,GA,value_mismatch
RNN260328048779,CITY_NAME,,ACWORTH,value_mismatch
RNN260328048779,STATE_NAME,,GA,value_mismatch
RNN260328048862,CITY_NAME,,DOUGLASVILLE,value_mismatch
RNN260328048862,STATE_NAME,,GA,value_mismatch
RNN260328049141,CITY_NAME,,LOCUST GROVE,value_mismatch
RNN260328049141,STATE_NAME,,GA,value_mismatch
RNN260328049693,CITY_NAME,,BREMEN,value_mismatch
RNN260328049693,STATE_NAME,,GA,value_mismatch
RNN260328050247,CITY_NAME,,KENNESAW,value_mismatch
RNN260328050247,STATE_NAME,,GA,value_mismatch
RNN260328050280,CITY_NAME,,Dallas,value_mismatch
RNN260328050280,STATE_NAME,,GA,value_mismatch
RNN260329051001,CITY_NAME,,ALPHARETTA,value_mismatch
RNN260329051001,STATE_NAME,,GA,value_mismatch
RNN260329051407,CITY_NAME,,PINE LAKE,value_mismatch
RNN260329051407,STATE_NAME,,GA,value_mismatch
RNN260329051578,CITY_NAME,,ACWORTH,value_mismatch
RNN260329051578,STATE_NAME,,GA,value_mismatch
RNN260329051892,CITY_NAME,,CONLEY,value_mismatch
RNN260329051892,STATE_NAME,,GA,value_mismatch
RNN260329051907,CITY_NAME,,SUWANEE,value_mismatch
RNN260329051907,STATE_NAME,,GA,value_mismatch
RNN260330052248,CITY_NAME,,CUMMING,value_mismatch
RNN260330052248,STATE_NAME,,GA,value_mismatch
RNN260330052563,CITY_NAME,,LOGANVILLE,value_mismatch
RNN260330052563,STATE_NAME,,GA,value_mismatch
RNN260330052836,CITY_NAME,,DAHLONEGA,value_mismatch
RNN260330052836,STATE_NAME,,GA,value_mismatch
RNN260330054152,CITY_NAME,,ATLANTA,value_mismatch
RNN260330054152,STATE_NAME,,GA,value_mismatch
RNN260330054643,CITY_NAME,,MILTON,value_mismatch
RNN260330054643,STATE_NAME,,GA,value_mismatch
RNN260330055628,CITY_NAME,,SOCIAL CIRCLE,value_mismatch
RNN260330055628,STATE_NAME,,GA,value_mismatch
RNN260330055907,CITY_NAME,,WHITE OAK,value_mismatch
RNN260330055907,STATE_NAME,,GA,value_mismatch
RNN260330056126,CITY_NAME,,MABELTON,value_mismatch
RNN260330056126,STATE_NAME,,GA,value_mismatch
RNN260330057676,CITY_NAME,,BUFORD,value_mismatch
RNN260330057676,STATE_NAME,,GA,value_mismatch
RNN260331060844,CITY_NAME,,ATLANTA,value_mismatch
RNN260331060844,STATE_NAME,,GA,value_mismatch
